species,species_id
AR,[Ar]_m1
N2,N#N_m1
HE,[He]_m1
H2,[H][H]_m1
H,[H]_m2
O2,[O][O]_m3
O,[O]_m3
H2O,O_m1
OH,[OH]_m2
H2O2,OO_m1
HO2,O[O]_m2
CO,[C]=O_m3
CO2,O=C=O_m1
HOCO,O[C]=O_m2
CH4,C_m1
CH3,[CH3]_m2
CH2,[CH2]_m3
CH2(S),[CH2]_m1
C,[C]_m5
CH,[CH]_m4
CH3O2H,COO_m1
CH3O2,CO[O]_m2
CH2O2H,[CH2]OO_m2
CH3OH,CO_m1
CH3O,C[O]_m2
CH2OH,[CH2]O_m2
CH2O,C=O_m1
HCO,[CH]=O_m2
HCOH,[CH]O_m3
HO2CHO,OOC=O_m1
HOCH2O2H,OOCO_m1
HOCH2O2,[O]OCO_m2
OCH2O2H,OOC[O]_m2
HOCH2O,OC[O]_m2
O2CHO,[O]OC=O_m2
HOCHO,OC=O_m1
OCHO,[O]C=O_m2
C2H6,CC_m1
C2H5,C[CH2]_m2
C2H5O2H,CCOO_m1
C2H5O2,CCO[O]_m2
C2H4,C=C_m1
C2H3,C=[CH]_m2
CHOCHO,O=CC=O_m1
C2H3OOH,OOC=C_m1
C2H3OO,[O]OC=C_m2
CHCHO,[CH]CO_m3
C2H2,C#C_m1
C2H,C#[C]_m2
H2CC,C=[C]_m3
C2H5OH,CCO_m1
C2H5O,CC[O]_m2
PC2H4OH,[CH2]CO_m2
SC2H4OH,C[CH]O_m2
O2C2H4OH,OCCO[O]_m2
C2H4O2H,[CH2]COO_m2
C2H4O1-2,O1CC1_m1
C2H3O1-2,O1[CH]C1_m2
CH3CHO,CC=O_m1
CH3CO,C[C]=O_m2
CH2CHO,[CH2]C=O_m2
O2CH2CHO,[O]OCC=O_m2
HO2CH2CO,OOC[C]=O_m2
C2H3OH,OC=C_m1
C2H2OH,OC=[CH]_m2
CH2CO,C=C=O_m1
HCCO,[CH]=C=O_m2
HCCOH,OC#C_m1
CH3CO3H,CC(=O)OO_m1
CH3CO3,CC(=O)O[O]_m2
CH3CO2,CC(=O)[O]_m2
