species,inchi,smiles,mult,ANL1,ANL0,Ladder
C(O)(CH3)3,"InChI=1S/C4H9O/c1-4(2,3)5/h1-3H3",CC(C)(C)[O],2,,0.,0.
CH4,"InChI=1S/CH4/h1H4",C,1,-15.91,-15.91,-15.91
H2O,"InChI=1S/H2O/h1H2",O,1,-57.11,-57.11,-57.11
NH3,"InChI=1S/H3N/h1H3",N,1,-9.22,-9.22,-9.22
OH,"InChI=1S/HO/h1H",[OH],2,8.90,8.90,8.90
NH2,"InChI=1S/H2N/h1H2",[NH2],2,45.15,45.15,45.15
H2,"InChI=1S/H2/h1H",[H][H],1,0.00,0.00,0.00
CH3,"InChI=1S/CH3/h1H3",[CH3],2,35.80,35.84,35.80
CCH,"InChI=1S/C2H/c1-2/h1H",,,134.59,134.50,134.59
CHCH,"InChI=1S/C2H2/c1-2/h1-2H",C#C,1,54.62,54.57,54.62
CH2C,"InChI=1S/C2H2/c1-2/h1H2",[C]=C,1,98.17,98.35,98.26
CH2CH,"InChI=1S/C2H3/c1-2/h1H,2H2",[CH]=C,2,71.83,71.91,71.83
CH2CH2,"InChI=1S/C2H4/c1-2/h1-2H2",C=C,1,14.37,14.39,14.37
CH3CH2,"InChI=1S/C2H5/c1-2/h1H2,2H3",C[CH2],2,31.30,31.39,31.30
CH3CH3,"InChI=1S/C2H6/c1-2/h1-2H3",CC,1,-16.49,-16.46,-16.49
c-CHCCH,"InChI=1S/C3H2/c1-2-3-1/h1-2H",C1=CC=1,1,118.59,118.69,118.59
CH2CC,"InChI=1S/C3H2/c1-3-2/h1H2",[C-]#C[CH2+],1,132.15,132.31,132.32
CH2CCH,"InChI=1S/C3H3/c1-3-2/h1H,2H2",C#C[CH2],2,84.63,84.60,84.50
c-CHCHCH,"InChI=1S/C3H3/c1-2-3-1/h1-3H",[CH]1C=C1,2,117.26,117.33,117.26
c-CH2CHC,"InChI=1S/C3H3/c1-2-3-1/h1H,2H2",[C]1=CC1,2,125.93,125.93,125.93
CH3CC,"InChI=1S/C3H3/c1-3-2/h1H3",[C]#CC,2,126.25,126.24,126.29
CH3CCH,"InChI=1S/C3H4/c1-3-2/h1H,2H3",C#CC,1,45.97,45.97,45.99
CH2CCH2,"InChI=1S/C3H4/c1-3-2/h1-2H2",C=C=C,1,47.00,47.08,47.04
CH2CHCH2,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2",[CH2]C=C,2,0.00,42.92,42.82
CH3CCH2,"InChI=1S/C3H5/c1-3-2/h1H2,2H3",C=[C]C,2,0.00,62.87,62.73
CH3CHCHa,"InChI=1S/C3H5/c1-3-2/h1,3H,2H3",[CH]=CC,2,0.00,66.53,66.42
CH3CHCHb,"InChI=1S/C3H5/c1-3-2/h1,3H,2H3",[CH]=CC,2,0.00,66.53,66.42
c-CH2CHCH2,"InChI=1S/C3H5/c1-2-3-1/h1H,2-3H2",[CH]1CC1,2,0.00,72.76,72.60
CH3CHCH2,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",C=CC,1,0.00,8.25,8.20
c-CH2CH2CH2,"InChI=1S/C3H6/c1-2-3-1/h1-3H2",C1CC1,1,0.00,17.08,17.08
CH3CHCH3,"InChI=1S/C3H7/c1-3-2/h3H,1-2H3",C[CH]C,2,0.00,25.12,24.99
