formula,smiles,mult,inchi,ATcT,ANL1,ANL0,ATcTsig
(CH3)2CCH,C[C](C)[CH],2,"InChI=1S/C4H7/c1-4(2)3/h1H,2-3H3",,,252.16968,
(CH3)2CCH2,CC(=C)C,1,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",3.916224,,4.47688,0.43932
(CH3)2CH(OH),CC(O)C,1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",-248.768088,,-247.86016,0.359824
(CH3)2CHCH2,CC([CH2])C,2,"InChI=1S/C4H9/c1-4(2)3/h4H,1H2,2-3H3",,,97.78008,
(CH3)2CHCH3,CC(C)C,1,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",-106.173184,,-105.8552,0.326352
(CH3)3C,C[C](C)C,2,"InChI=1S/C4H9/c1-4(2)3/h1-3H3",,,75.5212,
C(OH)3,O[C](O)O,2,"InChI=1S/CH3O3/c2-1(3)4/h2-4H",,,-401.07824,
C,[C],3,"InChI=1S/C",711.401336,710.81976,711.40552,0.050208
C-CHCH2CH,C1[CH][CH]1,1,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",292.54528,292.2524,292.29424,0.535552
CC(OH)2,[C]C(O)O,1,"InChI=1S/C2H5O2/c1-2(3)4/h2-4H,1H2",,,141.6284,
CCCCCN,[C]#CC#CC#N,2,"InChI=1S/C5N/c1-2-3-4-5-6",,,943.78488,
CCCCH,C#CC#[C],2,"InChI=1S/C4H/c1-3-4-2/h1H",,,802.19832,
CCCCO,[C][C]C#C[O],3,"InChI=1S/C4H2O/c1-2-3-4-5/h1H2",,,606.51264,
CCCHO,O=CC#[C],2,"InChI=1S/C3HO/c1-2-3-4/h3H",,,468.27328,
CCCN,[C]#CC#N,2,"InChI=1S/C3N/c1-2-3-4",,716.77,717.26312,
CCH,C#[C],2,"InChI=1S/C2H/c1-2/h1H",563.873496,563.12456,562.748,0.142256
CCO,[C][C][O],3,"InChI=1S/C2H2O/c1-2-3/h1H2",376.300592,376.81104,376.89472,0.970688
CCOOH,OOC#[C],2,"InChI=1S/C2HO2/c1-2-4-3/h3H",,,179.45176,
CH(OH)3,OC(O)O,1,"InChI=1S/CH4O3/c2-1(3)4/h1-4H",,,-587.97752,
CH,[CH],2,"InChI=1S/CH/h1H",592.780752,592.70544,593.12384,0.1046
CH2,[CH2],1,"InChI=1S/CH2/h1H2",428.621512,428.7,429.11104,0.121336
CH2,[CH2],3,"InChI=1S/CH2/h1H2",391,390.66008,391.1,0.1
CH2C(OH)2,OC(=C)O,1,"InChI=1S/C2H4O2/c1-2(3)4/h3-4H,1H2",,,-307.39848,
CH2C(OH)CH2,[CH2]C(=C)O,2,"InChI=1S/C3H5O/c1-3(2)4/h4H,1-2H2",,,3.80744,
CH2C,C=[C],1,"InChI=1S/C2H2/c1-2/h1H2",411.283016,410.74328,411.4964,0.322168
CH2CC,[CH2][C][C],1,"InChI=1S/C3H4/c1-3-2/h1-2H2",554.446944,552.9156,553.58504,0.4184
