formula,smiles,inchi,ATcT
H,[H]_m2,InChI=1S/H,217.998
H2,[H][H]_m1,InChI=1S/H2/h1H,0
C,[C]_m3,InChI=1S/C,716.886
CH,[CH]_m2,InChI=1S/CH/h1H,596.12
CH2,[CH2]_m3,InChI=1S/CH2/h1H2,391.52
CH2,[CH2]_m1,InChI=1S/CH2/h1H2,429.03
CH3,[CH3]_m2,InChI=1S/CH3/h1H3,146.374
CH4,C_m1,InChI=1S/CH4/h1H4,-74.52
C2,[C]#[C]_m1,InChI=1S/C2/c1-2,828.68
CCH,C#[C]_m2,InChI=1S/C2H/c1-2/h1H,567.99
CHCH,C#C_m1,InChI=1S/C2H2/c1-2/h1-2H,228.28
CH2C,C=[C]_m1,InChI=1S/C2H2/c1-2/h1H2,412.2
CH2CH,[CH2][CH]_m2,"InChI=1S/C2H3/c1-2/h1H,2H2",296.91
CH2CH2,C=C_m1,InChI=1S/C2H4/c1-2/h1-2H2,52.45
CH3CH,C[CH]_m3,"InChI=1S/C2H4/c1-2/h1H,2H3",354.45
CH3CH2,C[CH2]_m2,"InChI=1S/C2H5/c1-2/h1H2,2H3",119.86
CH3CH3,CC_m1,InChI=1S/C2H6/c1-2/h1-2H3,-83.91
c-CCCH,[CH]1[C][C]1_m2,InChI=1S/C3H/c1-2-3-1/h1H,714.8
c-CHCCH,[CH]1[C][CH]1_m1,InChI=1S/C3H2/c1-2-3-1/h1-2H,496.12
CHCCH,[CH]C#C_m3,InChI=1S/C3H2/c1-3-2/h1-2H,546.38
CH2CC,[CH2][C][C]_m1,InChI=1S/C3H4/c1-3-2/h1-2H2,555.59
CH2CCH,[CH2]C#C_m2,"InChI=1S/C3H3/c1-3-2/h1H,2H2",351.44
c-CHCHCH,[CH]1[CH][CH]1_m2,InChI=1S/C3H3/c1-2-3-1/h1-3H,486.42
CH3CC,C[C][C]_m2,"InChI=1S/C3H5/c1-3-2/h1H2,2H3",526.64
c-CH2CHC,C1[C][CH]1_m2,"InChI=1S/C3H3/c1-2-3-1/h1H,2H2",523.53
CH3CCH,CC#C_m1,"InChI=1S/C3H4/c1-3-2/h1H,2H3",185.74
CH2CCH2,C=C=C_m1,InChI=1S/C3H4/c1-3-2/h1-2H2,189.86
C-CHCH2CH,C1[CH][CH]1_m1,"InChI=1S/C3H4/c1-2-3-1/h1-2H,3H2",283.82
CH2CHCH2,[CH2]C=C_m2,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2",167.84
CH3CCH2,C[C][CH2]_m2,"InChI=1S/C3H5/c1-3-2/h1H2,2H3",252.56
CH3CHCH,C[CH][CH]_m2,"InChI=1S/C3H5/c1-3-2/h1,3H,2H3",267.19
c-CH2CHCH2,C1[CH]C1_m2,"InChI=1S/C3H5/c1-2-3-1/h1H,2-3H2",290.2
CH3CHCH2,CC=C_m1,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",19.99
c-CH2CH2CH2,C1CC1_m1,InChI=1S/C3H6/c1-2-3-1/h1-3H2,53.65
CH3CHCH3,C[CH]C_m2,"InChI=1S/C3H7/c1-3-2/h3H,1-2H3",88.68
CH3CH2CH2,CC[CH2]_m2,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3",100.81
CH3CH2CH3,CCC_m1,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",-105.03
CHCCCH,C#CC#C_m1,InChI=1S/C4H2/c1-3-4-2/h1-2H,460.3
CH2CHCHCH2,C=CC=C_m1,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",110.57
CH3CCCH3,CC#CC_m1,InChI=1S/C4H6/c1-3-4-2/h1-2H3,146
c-CH2CH2CHCH,C1[CH][CH]C1_m1,"InChI=1S/C4H6/c1-2-4-3-1/h1-2H,3-4H2",159.74
CH3CH2CCH,CCC#C_m1,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",165.77
(CH3)2CCH2,CC(=C)C_m1,"InChI=1S/C4H8/c1-4(2)3/h1H2,2-3H3",-17.15
CH3CHCHCH3,C/C=C/C_m1,"InChI=1S/C4H8/c1-3-4-2/h3-4H,1-2H3/b4-3+",-11.3
CH2CHCH2CH3,CCC=C_m1,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",-0.08
c-CH2CH2CH2CH2,C1CCC1_m1,InChI=1S/C4H8/c1-2-4-3-1/h1-4H2,27.63
CH3CH2CH2CH2,CCC[CH2]_m2,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3",78.25
(CH3)2CHCH3,CC(C)C_m1,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",-134.78
CH3CH2CH2CH3,CCCC_m1,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",-125.94
CH2CHC,[C]C=C_m2,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2",
CHCHCH,[CH][CH][CH]_m4,InChI=1S/C3H3/c1-3-2/h1-3H,
CH3CCH3,C[C]C_m4,InChI=1S/C3H6/c1-3-2/h1-2H3,
CH3CH2CH,CC[CH]_m3,"InChI=1S/C3H6/c1-3-2/h1H,3H2,2H3",
CCCCH,C#CC#[C]_m2,InChI=1S/C4H/c1-3-4-2/h1H,
CH2CCCH,[CH2]C#C[CH]_m2,"InChI=1S/C4H3/c1-3-4-2/h1H,2H2",
CHCHCCH,[CH][CH]C#C_m2,InChI=1S/C4H3/c1-3-4-2/h1-3H,
c-CHCHCHC,[CH]1[C]C=C1_m2,InChI=1S/C4H3/c1-2-4-3-1/h1-3H,
CH2CHCCH,C=CC#C_m1,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2",
CH2CCCH2,[CH2]C#C[CH2]_m1,InChI=1S/C4H4/c1-3-4-2/h1-2H2,
c-C(CH2)CHCH,C=C1C=C1_m1,"InChI=1S/C4H4/c1-4-2-3-4/h2-3H,1H2",
c-CHCHCHCH,[CH]C1[CH][CH]1_m1,InChI=1S/C4H4/c1-4-2-3-4/h1-4H,
CH3CCCH2,CC#C[CH2]_m2,"InChI=1S/C4H5/c1-3-4-2/h1H2,2H3",
CH2CHCCH2,C=[C]C=C_m2,"InChI=1S/C4H5/c1-3-4-2/h3H,1-2H2",
CH3CHCCH,C[CH]C#C_m2,"InChI=1S/C4H5/c1-3-4-2/h1,4H,2H3",
c-CH2CHCHCH,C1[CH]C=C1_m2,"InChI=1S/C4H5/c1-2-4-3-1/h1-3H,4H2",
CH2CHCHCH,[CH2]/C=C/[CH]_m2,"InChI=1S/C4H5/c1-3-4-2/h1,3-4H,2H2",
CH2CCHCH3,CC=C=C_m1,"InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3",
CH2CHCHCH3,C/C=C/[CH2]_m2,"InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3",
CH3C(CH2)2,C[C]C[CH2]_m2,"InChI=1S/C4H7/c1-3-4-2/h1,3H2,2H3",
CH2CHCH2CH2,[CH2]CC=C_m2,"InChI=1S/C4H7/c1-3-4-2/h3H,1-2,4H2",
CH3CCHCH3,C/[C]=C/C_m2,"InChI=1S/C4H7/c1-3-4-2/h3H,1-2H3",
c-CH2CH2CH2CH,C1[CH]CC1_m2,"InChI=1S/C4H7/c1-2-4-3-1/h1H,2-4H2",
(CH3)2CCH,C[C](C)[CH]_m2,"InChI=1S/C4H7/c1-4(2)3/h1H,2-3H3",
CH3CH2CHCH,CC[CH][CH]_m2,"InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3",
(CH3)3C,C[C](C)C_m2,InChI=1S/C4H9/c1-4(2)3/h1-3H3,
CH3CH2CHCH3,C[CH]CC_m2,"InChI=1S/C4H9/c1-3-4-2/h3H,4H2,1-2H3",
(CH3)2CHCH2,CC([CH2])C_m2,"InChI=1S/C4H9/c1-4(2)3/h4H,1H2,2-3H3",
CHCCCCH,[CH]C#CC#C_m3,InChI=1S/C5H2/c1-3-5-4-2/h1-2H,
CH2CCCCH,[CH2][C]C#C[CH]_m2,"InChI=1S/C5H3/c1-3-5-4-2/h1H,2H2",
CHCCHCCH,C#C[CH]C#C_m2,"InChI=1S/C5H3/c1-3-5-4-2/h1-2,5H",
CH3CCCCH,CC#CC#C_m1,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3",
CH2CCHCCH,C=C=CC#C_m1,"InChI=1S/C5H4/c1-3-5-4-2/h1,5H,2H2",
CH2CCCCH2,[CH2][C]C#C[CH2]_m1,InChI=1S/C5H4/c1-3-5-4-2/h1-2H2,
CHCCH2CCH,C#CCC#C_m1,"InChI=1S/C5H4/c1-3-5-4-2/h1-2H,5H2",
c-CHCHCHCHC,[CH]1C=[C]C=C1_m3,InChI=1S/C5H4/c1-2-4-5-3-1/h1-4H,
CHCCCCCH,C#CC#CC#C_m1,InChI=1S/C6H2/c1-3-5-6-4-2/h1-2H,
O,[O]_m3,InChI=1S/O,249.229
OH,[OH]_m2,InChI=1S/HO/h1H,37.49
H2O,O_m1,InChI=1S/H2O/h1H2,-241.834
CO,[C]=O_m1,InChI=1S/CO/c1-2,-110.523
HCO,[CH][O]_m2,InChI=1S/CHO/c1-2/h1H,41.803
HCO,[CH][O]_m2,InChI=1S/CHO/c1-2/h1H,41.803
COH,[C]O_m2,"InChI=1S/CH3O/c1-2/h2H,1H2",217.69
