name,smiles,inchi,mult,charge,sens
'H','','InChI=1S/H',0,0,0
'H2','','InChI=1S/H2/h1H',0,0,0
'O','','InChI=1S/O',0,0,0
'O2','','InChI=1S/O2/c1-2',0,0,0
'OH','','InChI=1S/HO/h1H',0,0,0
'H2O','','InChI=1S/H2O/h1H2',0,0,0
'N2','','InChI=1S/N2/c1-2',0,0,0
'HO2','','InChI=1S/HO2/c1-2/h1H',0,0,0
'H2O2','','InChI=1S/H2O2/c1-2/h1-2H',0,0,0
'AR','','InChI=1S/Ar',0,0,0
'HE','','InChI=1S/He',0,0,0
'NO','[N]=O','',0,0,0
'N2O','[N-]=[N+]=O','',0,0,0
'NO2','N(=O)[O]','',0,0,0
'HNO','N=O','',0,0,0
'HNO2','N(O)O','',0,0,0
'HONO','N(=O)O','',0,0,0
'HONO2','O=NOO','',0,0,0
'N2H2','N=N','',0,0,0
'H2NN','N[N]','',0,0,0
'NH2OH','NO','',0,0,0
'HNOH','[H][N]O','',0,0,0
'NH3','N','',0,0,0
'N2H4','NN','',0,0,0
'N','[N]','',0,0,0
'NO3','','InChI=1S/NO3/c2-1(3)4',0,0,0
'NH','','InChI=1S/HN/h1H',0,0,0
'NNH','[N][N][H]','',0,0,0
'NH2','','InChI=1S/H2N/h1H2',0,0,0
'H2NO','N[O-]','',0,0,0
'N2H3','N[N][H]','',0,0,0
