Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H4CH3+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            0.5    2.75523e+08        1665.13    5.85759e+11
              1     3.4467e+09        4671.78    3.27803e+11
            1.5    1.86215e+10        9911.44    2.42513e+11
              2    7.03295e+10        19201.6    1.96145e+11
            2.5    2.15125e+11        35340.9    1.67162e+11
              3    5.73127e+11        62595.4    1.46387e+11
            3.5    1.38741e+12         107202    1.31801e+11
              4    3.13255e+12         177957    1.20583e+11
            4.5    6.70264e+12         286800    1.11771e+11
              5    1.37317e+13         448414    1.04482e+11
            5.5    2.71249e+13         677762    9.82934e+10
              6    5.19275e+13         985659    9.29151e+10
            6.5     9.6726e+13    1.37558e+06    8.82017e+10
              7    1.75872e+14    1.84413e+06    8.40144e+10
            7.5    3.12964e+14    2.38398e+06    8.02714e+10
              8    5.46224e+14    2.98679e+06    7.68941e+10
            8.5    9.36718e+14    3.64485e+06    7.38256e+10
              9    1.58077e+15    4.35095e+06    7.10197e+10
            9.5    2.62853e+15    5.09718e+06    6.84413e+10
             10    4.31159e+15     5.8749e+06    6.60606e+10
           10.5    6.98342e+15     6.6773e+06     6.3854e+10
             11    1.11785e+16    7.50241e+06    6.18011e+10
           11.5    1.76978e+16    8.35183e+06    5.98848e+10
             12    2.77313e+16    9.22691e+06    5.80908e+10
           12.5    4.30334e+16    1.01274e+07    5.64066e+10
             13    6.61708e+16    1.10522e+07    5.48218e+10
           13.5    1.00872e+17    1.19997e+07    5.33271e+10
             14    1.52516e+17    1.29684e+07    5.19146e+10
           14.5    2.28814e+17    1.39569e+07     5.0577e+10
             15    3.40753e+17    1.49638e+07    4.93083e+10
           15.5    5.03891e+17    1.59879e+07    4.81028e+10
             16     7.4014e+17     1.7028e+07    4.69556e+10
           16.5    1.08019e+18    1.80829e+07    4.58624e+10
             17    1.56683e+18    1.91515e+07    4.48193e+10
           17.5    2.25934e+18     2.0233e+07    4.38226e+10
             18    3.23959e+18    2.13263e+07    4.28692e+10
           18.5    4.61998e+18    2.24306e+07    4.19562e+10
             19    6.55428e+18    2.35451e+07    4.10809e+10
           19.5    9.25185e+18     2.4669e+07     4.0241e+10
