Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+H
   P2 - C5H5CH2-1+H2
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            0.5    4.26469e+07              0    4.00677e+12
              1    3.06787e+08         643.36    3.85884e+12
            1.5    1.24703e+09        9231.71    3.78564e+12
              2    3.86112e+09          36288    3.71827e+12
            2.5    1.01865e+10         102558    3.66334e+12
              3     2.4173e+10         244823    3.59302e+12
            3.5    5.34474e+10         523253    3.53553e+12
              4     1.1206e+11    1.03335e+06    3.47837e+12
            4.5     2.2519e+11    1.92064e+06    3.42901e+12
              5    4.36655e+11    3.39825e+06    3.38325e+12
            5.5    8.21028e+11    5.75316e+06    3.34069e+12
              6     1.5028e+12    9.31835e+06     3.3001e+12
            6.5    2.68646e+12    1.43987e+07    3.26175e+12
              7    4.70254e+12    2.11952e+07    3.22501e+12
            7.5    8.07772e+12    2.97719e+07    3.19008e+12
              8    1.36401e+13    4.00708e+07    3.15665e+12
            8.5    2.26758e+13    5.19662e+07    3.12461e+12
              9    3.71601e+13    6.53527e+07    3.09379e+12
            9.5    6.00951e+13    8.02156e+07    3.06412e+12
             10    9.59995e+13    9.66161e+07    3.03548e+12
           10.5    1.51613e+14    1.14628e+08    3.00782e+12
             11      2.369e+14    1.34303e+08    2.98105e+12
           11.5    3.66478e+14    1.55665e+08    2.95513e+12
             12    5.61618e+14    1.78727e+08       2.93e+12
           12.5    8.53062e+14    2.03495e+08    2.90559e+12
             13    1.28493e+15    2.29976e+08    2.88188e+12
           13.5    1.92012e+15     2.5817e+08    2.85883e+12
             14    2.84777e+15    2.88078e+08    2.83639e+12
           14.5    4.19343e+15    3.19699e+08    2.81454e+12
             15    6.13295e+15     3.5303e+08    2.79324e+12
           15.5    8.91129e+15    3.88068e+08    2.77247e+12
             16     1.2868e+16    4.24807e+08    2.75221e+12
           16.5    1.84711e+16    4.63242e+08    2.73242e+12
             17    2.63632e+16    5.03365e+08    2.71309e+12
           17.5     3.7422e+16    5.45171e+08     2.6942e+12
             18    5.28412e+16    5.88651e+08    2.67572e+12
           18.5    7.42375e+16    6.33796e+08    2.65765e+12
             19    1.03791e+17    6.80597e+08    2.63996e+12
           19.5    1.44432e+17    7.29044e+08    2.62264e+12
             20     2.0008e+17    7.79128e+08    2.60567e+12
           20.5    2.75961e+17    8.30838e+08    2.58904e+12
             21    3.79021e+17    8.84164e+08    2.57274e+12
           21.5    5.18451e+17    9.39093e+08    2.55676e+12
             22    7.06384e+17    9.95615e+08    2.54109e+12
           22.5    9.58773e+17    1.05372e+09     2.5257e+12
             23    1.29654e+18    1.11339e+09     2.5106e+12
           23.5    1.74701e+18    1.17462e+09    2.49578e+12
             24    2.34583e+18    1.23739e+09    2.48122e+12
           24.5    3.13928e+18     1.3017e+09    2.46691e+12
             25    4.18735e+18    1.36753e+09    2.45286e+12
           25.5    5.56754e+18    1.43486e+09    2.43904e+12
             26    7.37974e+18    1.50369e+09    2.42546e+12
           26.5    9.75234e+18      1.574e+09     2.4121e+12
             27    1.28499e+19    1.64578e+09    2.39896e+12
           27.5    1.68831e+19    1.71902e+09    2.38603e+12
             28    2.21204e+19     1.7937e+09    2.37331e+12
           28.5    2.89037e+19    1.86982e+09    2.36078e+12
             29    3.76673e+19    1.94735e+09    2.34845e+12
           29.5    4.89614e+19    2.02629e+09    2.33631e+12
             30    6.34815e+19    2.10662e+09    2.32436e+12
           30.5    8.21053e+19    2.18833e+09    2.31258e+12
             31    1.05938e+20    2.27141e+09    2.30097e+12
           31.5    1.36367e+20    2.35585e+09    2.28953e+12
             32    1.75135e+20    2.44163e+09    2.27826e+12
           32.5    2.24419e+20    2.52874e+09    2.26715e+12
             33     2.8694e+20    2.61717e+09    2.25619e+12
           33.5    3.66092e+20     2.7069e+09    2.24538e+12
             34    4.66096e+20    2.79793e+09    2.23473e+12
           34.5    5.92198e+20    2.89024e+09    2.22421e+12
             35      7.509e+20    2.98382e+09    2.21384e+12
           35.5    9.50252e+20    3.07865e+09    2.20361e+12
             36     1.2002e+21    3.17474e+09    2.19351e+12
           36.5    1.51303e+21    3.27205e+09    2.18354e+12
             37    1.90385e+21    3.37059e+09     2.1737e+12
           37.5    2.39125e+21    3.47034e+09    2.16398e+12
             38    2.99805e+21    3.57128e+09    2.15439e+12
           38.5    3.75225e+21    3.67341e+09    2.14491e+12
             39    4.68809e+21    3.77672e+09    2.13555e+12
           39.5    5.84743e+21     3.8812e+09    2.12631e+12
             40    7.28138e+21    3.98682e+09    2.11717e+12
           40.5     9.0522e+21    4.09359e+09    2.10815e+12
             41    1.12357e+22    4.20149e+09    2.09923e+12
           41.5    1.39239e+22    4.31051e+09    2.09042e+12
             42    1.72286e+22    4.42064e+09    2.08171e+12
           42.5    2.12853e+22    4.53187e+09     2.0731e+12
             43    2.62579e+22    4.64418e+09    2.06459e+12
           43.5    3.23447e+22    4.75758e+09    2.05617e+12
             44    3.97849e+22    4.87204e+09    2.04785e+12
           44.5    4.88671e+22    4.98756e+09    2.03962e+12
             45    5.99387e+22    5.10412e+09    2.03148e+12
           45.5    7.34177e+22    5.22172e+09    2.02343e+12
             46    8.98063e+22    5.34035e+09    2.01547e+12
           46.5    1.09707e+23    5.45999e+09    2.00759e+12
             47    1.33842e+23    5.58064e+09    1.99979e+12
           47.5    1.63075e+23    5.70228e+09    1.99208e+12
             48    1.98442e+23    5.82492e+09    1.98445e+12
           48.5    2.41176e+23    5.94853e+09     1.9769e+12
             49    2.92751e+23    6.07311e+09    1.96942e+12
           49.5    3.54924e+23    6.19864e+09    1.96202e+12
             50    4.29785e+23    6.32513e+09     1.9547e+12
           50.5    5.19823e+23    6.45255e+09    1.94744e+12
             51    6.27993e+23    6.58091e+09    1.94027e+12
           51.5    7.57802e+23    6.71019e+09    1.93316e+12
             52    9.13409e+23    6.84038e+09    1.92612e+12
           52.5    1.09974e+24    6.97147e+09    1.91915e+12
             53    1.32263e+24    7.10346e+09    1.91224e+12
           53.5    1.58898e+24    7.23634e+09    1.90541e+12
             54    1.90691e+24    7.37009e+09    1.89863e+12
           54.5    2.28605e+24    7.50471e+09    1.89193e+12
             55    2.73772e+24    7.64019e+09    1.88528e+12
           55.5    3.27526e+24    7.77653e+09     1.8787e+12
             56    3.91438e+24    7.91371e+09    1.87217e+12
           56.5    4.67353e+24    8.05172e+09    1.86571e+12
             57    5.57441e+24    8.19056e+09     1.8593e+12
           57.5    6.64247e+24    8.33023e+09    1.85296e+12
             58    7.90755e+24     8.4707e+09    1.84667e+12
           58.5    9.40463e+24    8.61198e+09    1.84043e+12
             59    1.11747e+25    8.75405e+09    1.83425e+12
           59.5    1.32655e+25    8.89691e+09    1.82813e+12
             60    1.57332e+25    9.04055e+09    1.82206e+12
           60.5    1.86431e+25    9.18496e+09    1.81604e+12
             61    2.20714e+25    9.33014e+09    1.81007e+12
           61.5    2.61071e+25    9.47608e+09    1.80415e+12
             62    3.08538e+25    9.62276e+09    1.79829e+12
           62.5    3.64322e+25    9.77019e+09    1.79247e+12
             63    4.29826e+25    9.91836e+09     1.7867e+12
           63.5     5.0668e+25    1.00672e+10    1.78098e+12
             64     5.9678e+25    1.02169e+10    1.77531e+12
           64.5    7.02324e+25    1.03672e+10    1.76969e+12
             65    8.25862e+25    1.05182e+10    1.76411e+12
           65.5    9.70352e+25      1.067e+10    1.75857e+12
             66    1.13921e+26    1.08224e+10    1.75308e+12
           66.5    1.33641e+26    1.09755e+10    1.74764e+12
             67    1.56653e+26    1.11293e+10    1.74223e+12
           67.5    1.83486e+26    1.12838e+10    1.73688e+12
             68    2.14752e+26    1.14389e+10    1.73156e+12
           68.5    2.51157e+26    1.15947e+10    1.72628e+12
             69    2.93515e+26    1.17512e+10    1.72105e+12
           69.5    3.42765e+26    1.19083e+10    1.71586e+12
             70    3.99987e+26     1.2066e+10     1.7107e+12
           70.5    4.66426e+26    1.22244e+10    1.70559e+12
             71    5.43514e+26    1.23834e+10    1.70051e+12
           71.5    6.32895e+26     1.2543e+10    1.69547e+12
             72    7.36462e+26    1.27032e+10    1.69048e+12
           72.5    8.56385e+26    1.28641e+10    1.68551e+12
             73    9.95155e+26    1.30255e+10    1.68059e+12
           73.5    1.15563e+27    1.31876e+10     1.6757e+12
             74    1.34108e+27    1.33502e+10    1.67085e+12
           74.5    1.55527e+27    1.35135e+10    1.66603e+12
             75    1.80248e+27    1.36773e+10    1.66125e+12
           75.5    2.08762e+27    1.38417e+10     1.6565e+12
             76    2.41632e+27    1.40066e+10    1.65179e+12
