Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H4CH3+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            0.1         294400              0    1.66511e+14
            0.2         631657              0    6.96885e+14
            0.3         974205              0     1.6316e+15
            0.4    1.33001e+06              0    2.97207e+15
            0.5    1.82349e+06              0    4.43497e+15
            0.6    2.31278e+06              0     6.4074e+15
            0.7    2.76825e+06              0    9.06608e+15
            0.8    3.59302e+06              0     1.1159e+16
            0.9    4.70691e+06              0    1.30564e+16
              1    6.12509e+06              0    1.48732e+16
            1.1    8.06876e+06              0    1.62684e+16
            1.2    1.03331e+07     5.3428e+09    1.78937e+16
            1.3    1.30836e+07    3.49335e+10    1.95522e+16
            1.4    1.62647e+07    7.44806e+10    2.14221e+16
            1.5    1.98857e+07    1.40631e+11    2.35322e+16
            1.6    2.41037e+07    2.25247e+11    2.57436e+16
            1.7    2.93375e+07    3.44703e+11    2.77131e+16
            1.8    3.56084e+07    4.81832e+11    2.95824e+16
            1.9    4.31051e+07    6.52782e+11    3.13427e+16
              2    5.23862e+07    8.43425e+11    3.27858e+16
            2.1    6.32492e+07    1.06468e+12     3.4249e+16
            2.2    7.53586e+07    1.32562e+12    3.59979e+16
            2.3    9.01643e+07     1.6118e+12    3.74317e+16
            2.4     1.0735e+08    1.93483e+12    3.88758e+16
            2.5    1.26806e+08    2.30031e+12    4.04599e+16
            2.6     1.5003e+08    2.69742e+12    4.18129e+16
            2.7    1.76755e+08    3.13271e+12    4.31759e+16
            2.8    2.08392e+08    3.59504e+12    4.43406e+16
            2.9    2.45148e+08    4.08956e+12    4.54377e+16
              3    2.87225e+08    4.62734e+12    4.65641e+16
            3.1    3.36276e+08    5.19031e+12    4.75788e+16
            3.2    3.92946e+08    5.78543e+12    4.85438e+16
            3.3    4.57557e+08    6.42249e+12    4.95446e+16
            3.4    5.31696e+08    7.09195e+12    5.05181e+16
            3.5     6.1712e+08    7.78953e+12    5.14244e+16
            3.6    7.14749e+08     8.5192e+12    5.23162e+16
            3.7    8.27059e+08    9.27205e+12    5.31356e+16
            3.8    9.55093e+08    1.00539e+13    5.39449e+16
            3.9    1.10221e+09    1.08544e+13     5.4677e+16
              4    1.26969e+09    1.16805e+13    5.53985e+16
            4.1    1.46025e+09    1.25331e+13    5.61046e+16
            4.2     1.6772e+09    1.34056e+13    5.67831e+16
            4.3    1.92415e+09    1.42979e+13    5.74283e+16
            4.4     2.2047e+09    1.52078e+13    5.80482e+16
            4.5    2.52125e+09    1.61486e+13    5.86867e+16
            4.6    2.88138e+09     1.7098e+13    5.92713e+16
            4.7    3.28932e+09     1.8063e+13    5.98307e+16
            4.8    3.74887e+09    1.90532e+13    6.04003e+16
            4.9    4.26959e+09    2.00517e+13     6.0927e+16
              5    4.85548e+09    2.10727e+13    6.14596e+16
            5.1    5.51684e+09    2.21048e+13    6.19652e+16
            5.2    6.26333e+09    2.31453e+13    6.24392e+16
            5.3    7.09986e+09    2.42114e+13    6.29306e+16
            5.4    8.04319e+09    2.52819e+13    6.33829e+16
            5.5    9.10355e+09    2.63632e+13    6.38164e+16
            5.6    1.02914e+10    2.74635e+13    6.42517e+16
            5.7    1.16252e+10    2.85715e+13    6.46632e+16
            5.8     1.3119e+10    2.96931e+13    6.50657e+16
            5.9    1.47924e+10    3.08247e+13    6.54526e+16
