Names Translation Tables (<short name> - <original name>):
Wells:
   W1 - WR
   W2 - WP
Bimolecular products:
   P1 - C5H5CH3-1+OH
   P2 - C5H5CH2-1+H2O
Inner Barriers:
   B1 - B2
Outer Barriers:
   C1 - B1
   C2 - B3
    E, kcal/mol    D, mol/kcal         W1->W2         W1->P1
            0.1    1.29066e+06              0     3.0627e+15
            0.2    1.75943e+06              0    4.59644e+15
            0.3    2.18575e+06              0    6.77978e+15
            0.4    2.70011e+06              0    9.29489e+15
            0.5    3.46953e+06              0    1.15562e+16
            0.6    4.41712e+06    5.27912e+10    1.39129e+16
            0.7    5.93853e+06    1.33324e+11    1.53404e+16
            0.8    7.73777e+06    2.86045e+11    1.69643e+16
            0.9      9.756e+06    4.70066e+11    1.89522e+16
              1    1.26848e+07    7.01724e+11    2.01671e+16
            1.1    1.55931e+07    1.02172e+12    2.23448e+16
            1.2    1.89332e+07    1.44145e+12     2.4716e+16
            1.3    2.33423e+07    1.93424e+12    2.65833e+16
            1.4     2.8263e+07    2.53583e+12    2.87666e+16
            1.5    3.40255e+07    3.24526e+12    3.09586e+16
            1.6    4.17303e+07    3.96474e+12    3.23754e+16
            1.7     5.0417e+07    4.82293e+12    3.40663e+16
            1.8    6.06529e+07    5.76015e+12     3.5715e+16
            1.9     7.3027e+07    6.77472e+12    3.71472e+16
              2    8.68951e+07    7.91798e+12      3.884e+16
            2.1    1.03181e+08    9.15054e+12    4.04465e+16
            2.2    1.22689e+08    1.04191e+13    4.18176e+16
            2.3    1.44721e+08    1.18253e+13    4.33468e+16
            2.4    1.70246e+08    1.33126e+13    4.48266e+16
            2.5    2.01436e+08    1.47606e+13    4.58717e+16
            2.6    2.36479e+08    1.63472e+13    4.71035e+16
            2.7    2.76816e+08    1.80057e+13    4.83151e+16
            2.8    3.25229e+08     1.9613e+13    4.91949e+16
            2.9    3.79222e+08    2.13698e+13    5.03006e+16
              3    4.41241e+08    2.31883e+13    5.13767e+16
            3.1    5.14279e+08    2.49622e+13     5.2229e+16
            3.2    5.95662e+08     2.6891e+13    5.32769e+16
            3.3    6.89972e+08    2.88104e+13    5.41948e+16
            3.4     7.9979e+08    3.06936e+13    5.49473e+16
            3.5    9.22495e+08    3.27084e+13    5.58511e+16
            3.6    1.06439e+09    3.46947e+13    5.66196e+16
            3.7    1.22779e+09      3.666e+13    5.72888e+16
            3.8    1.41128e+09    3.87233e+13    5.80514e+16
            3.9    1.62048e+09    4.07979e+13    5.87705e+16
              4    1.86106e+09    4.28261e+13    5.93751e+16
            4.1     2.1309e+09     4.4947e+13    6.00587e+16
            4.2    2.43688e+09    4.70849e+13    6.07186e+16
            4.3    2.78773e+09    4.91654e+13    6.12624e+16
            4.4    3.17995e+09    5.13412e+13    6.18885e+16
            4.5    3.62422e+09    5.35197e+13    6.24778e+16
            4.6    4.13025e+09    5.56534e+13    6.29824e+16
            4.7    4.69549e+09    5.78751e+13    6.35537e+16
            4.8    5.33501e+09    6.00825e+13    6.40772e+16
            4.9    6.05987e+09    6.22548e+13    6.45356e+16
              5    6.86713e+09    6.45213e+13    6.50634e+16
            5.1    7.78026e+09     6.6749e+13    6.55248e+16
            5.2    8.80942e+09    6.89622e+13    6.59472e+16
            5.3    9.95665e+09    7.12448e+13    6.64117e+16
