species,inchi,smiles,mult,ANL1,ANL0,Ladder,Best
!These are all in kcal/mol.
C(O)(CH3)3,"InChI=1S/C4H9O/c1-4(2,3)5/h1-3H3","CC(C)(C)[O]",2,0,-13.54,-13.99429702,-13.99429702
NHNOHa,"InChI=1S/H2N2O/c1-2-3/h(H2,1,3)","N=NO",1,,20.971,,
NH2NOa,"InChI=1S/H2N2O/c1-2-3/h(H2,1,3)","N[N][O]",1,,20.971,,
OC(OH)2,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)","O=C(O)O",1,,-143.932,-143.899,-143.899
OC(OH)2b,"AMChI=1/CH2O3/c2-1(3)4/h3-4H","O=C(O)O",1,,-143.932,-143.899,-143.899
CH(OH)3,"InChI=1S/CH4O3/c2-1(3)4/h1-4H","OC(O)O",1,,-140.532,-140.463,-140.463
CH3C(O)OH,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)","CC(=O)O",1,,-99.806,-99.824,-99.824
CH3C(O)OHb,"AMChI=1/C2H4O2/c1-2(3)4/h4H,1H3","CC(=O)O",1,,-99.806,-99.824,-99.824
C(OH)3,"InChI=1S/CH3O3/c2-1(3)4/h2-4H","O[C](O)O",2,,-95.856,-95.982,-95.982
OHCH2OH,"InChI=1S/CH4O2/c2-1-3/h2-3H,1H2","OCO",1,,-90.501,-90.455,-90.455
OCHOH,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)","O=CO",1,,-88.691,-88.681,-88.681
OCHOHb,"AMChI=1/CH2O2/c2-1-3/h1,3H","O=CO",1,,-88.691,-88.681,-88.681
OHC(O)O,"InChI=1S/CHO3/c2-1(3)4/h(H,2,3)","[O]C(=O)O",2,,-86.341,-86.702,-86.702
CH3OCHO,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3","COC=O",1,,-82.537,-82.504,-82.504
CH2C(OH)2,"InChI=1S/C2H4O2/c1-2(3)4/h3-4H,1H2","C=C(O)O",1,,-73.467,-73.439,-73.439
OCHCH2OH,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2","O=CCO",1,,-72.569,-72.587,-72.587
OHCH2OOH,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2","OCOO",1,,-71.613,-71.518,-71.518
OHC(CH3)3,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3","OC(C)(C)C",1,,-67.480,-67.541,-67.480
OCHOOH,"InChI=1S/CH2O3/c2-1-4-3/h1,3H","O=COO",1,,-66.740,-66.682,-66.682
OHCHCHOHb,"InChI=1S/C2H4O2/c3-1-2-4/h1-4H/b2-1-","O/C=C\O",1,,-65.371,-65.343,-65.343
(CH3)2CH(OH),"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3","CC(O)C",1,,-59.239,-59.272,-59.272
