Partition function (log) and its derivatives:
T, K        methyl                         
100        62.2746    0.0300823 -0.000296122
200        64.3886    0.0156133 -7.03175e-05
300        65.6852     0.010954 -3.09015e-05
400        66.6539   0.00864451  -1.7252e-05
500        67.4444   0.00726681 -1.10133e-05
600        68.1223   0.00634768 -7.67933e-06
700        68.7224   0.00568714 -5.68625e-06
800        69.2651   0.00518731 -4.39675e-06
900        69.7634   0.00479431 -3.51592e-06
1000       70.2264   0.00447569 -2.89034e-06
1100       70.6603    0.0042107  -2.4322e-06
1200       71.0699   0.00398548  -2.0877e-06
1300       71.4584   0.00379053 -1.82237e-06
1400       71.8287   0.00361914 -1.61343e-06
1500       72.1829   0.00346648 -1.44545e-06
1600       72.5225   0.00332904 -1.30781e-06
1700       72.8491   0.00320416 -1.19307e-06
1800       73.1637   0.00308984 -1.09593e-06
1900       73.4674   0.00298452 -1.01255e-06
2000       73.7609   0.00288696  -9.4011e-07
2100        74.045    0.0027962 -8.76509e-07
2200       74.3203   0.00271142 -8.20154e-07
2300       74.5875   0.00263197  -7.6982e-07
2400       74.8469   0.00255729 -7.24553e-07
2500       75.0991   0.00248691 -6.83597e-07
2600       75.3444   0.00242045 -6.46346e-07
2700       75.5833   0.00235754 -6.12308e-07
2800        75.816   0.00229789 -5.81081e-07
2900       76.0429   0.00224124 -5.52329e-07
3000       76.2643   0.00218735 -5.25771e-07
298.2      65.6654      0.01101   -3.128e-05
