 thermo properties for species            1
  T(K) Cp(cal/(mol.K)) S(cal/(mol.K)) H-H(1)(kcal/mol)  Q/V   H(kcal/mol) 
  100.000      8.0578      40.814       0.0000     0.11105E+28 0.79658    
   200.00      8.8076      46.619      0.84206     0.91963E+28  1.6386    
   300.00      9.5202      50.326       1.7589     0.33629E+29  2.5555    
   400.00      10.244      53.163       2.7471     0.88597E+29  3.5437    
   500.00      10.955      55.526       3.8075     0.19531E+30  4.6041    
   600.00      11.629      57.584       4.9373     0.38471E+30  5.7338    
   700.00      12.271      59.425       6.1327     0.70107E+30  6.9293    
   800.00      12.887      61.104       7.3911     0.12063E+31  8.1876    
   900.00      13.476      62.656       8.7097     0.19855E+31  9.5063    
  1000.00      14.030      64.105       10.086     0.31546E+31  10.882    
   1100.0      14.546      65.467       11.515     0.48683E+31  12.312    
   1200.0      15.019      66.753       12.994     0.73327E+31  13.790    
   1300.0      15.450      67.973       14.518     0.10814E+32  15.315    
   1400.0      15.839      69.132       16.083     0.15661E+32  16.880    
   1500.0      16.188      70.237       17.685     0.22317E+32  18.482    
   1600.0      16.502      71.292       19.320     0.31342E+32  20.117    
   1700.0      16.783      72.301       20.985     0.43447E+32  21.781    
   1800.0      17.034      73.267       22.676     0.59510E+32  23.473    
   1900.0      17.259      74.195       24.391     0.80628E+32  25.188    
   2000.0      17.461      75.085       26.128     0.10813E+33  26.924    
   2100.0      17.642      75.941       27.883     0.14366E+33  28.680    
   2200.0      17.805      76.766       29.656     0.18919E+33  30.453    
   2300.0      17.952      77.561       31.444     0.24714E+33  32.241    
   2400.0      18.085      78.328       33.247     0.32033E+33  34.043    
   2500.0      18.205      79.068       35.062     0.41222E+33  35.858    
   2600.0      18.314      79.785       36.888     0.52681E+33  37.685    
   2700.0      18.414      80.478       38.725     0.66898E+33  39.521    
   2800.0      18.504      81.149       40.571     0.84425E+33  41.368    
   2900.0      18.587      81.800       42.426     0.10593E+34  43.223    
   3000.0      18.662      82.431       44.289     0.13218E+34  45.085    
   298.15      9.5072      50.267       1.7410     0.32970E+29  2.5376    
 thermodynamic fit results
 h298 final   35.0507742920504     
