 thermo properties for species            1
  T(K) Cp(cal/(mol.K)) S(cal/(mol.K)) H-H(1)(kcal/mol)  Q/V   H(kcal/mol) 
  100.000      8.3264      45.930       0.0000     0.14134E+29 0.80272    
   200.00      9.3229      52.024      0.88507     0.12337E+30  1.6878    
   300.00      10.253      55.976       1.8631     0.48001E+30  2.6658    
   400.00      11.250      59.063       2.9386     0.13453E+31  3.7413    
   500.00      12.162      61.673       4.1105     0.31561E+31  4.9133    
   600.00      12.930      63.961       5.3665     0.66124E+31  6.1693    
   700.00      13.573      66.004       6.6928     0.12790E+32  7.4955    
   800.00      14.126      67.853       8.0787     0.23284E+32  8.8814    
   900.00      14.616      69.546       9.5165     0.40393E+32  10.319    
  1000.00      15.058      71.109       11.001     0.67360E+32  11.804    
   1100.0      15.461      72.563       12.527     0.10867E+33  13.330    
   1200.0      15.827      73.925       14.092     0.17042E+33  14.895    
   1300.0      16.162      75.205       15.692     0.26080E+33  16.495    
   1400.0      16.466      76.414       17.324     0.39055E+33  18.127    
   1500.0      16.741      77.560       18.985     0.57384E+33  19.788    
   1600.0      16.991      78.648       20.672     0.82877E+33  21.475    
   1700.0      17.216      79.685       22.383     0.11786E+34  23.186    
   1800.0      17.420      80.675       24.115     0.16525E+34  24.918    
   1900.0      17.604      81.622       25.867     0.22876E+34  26.670    
   2000.0      17.771      82.529       27.636     0.31296E+34  28.439    
   2100.0      17.921      83.400       29.421     0.42346E+34  30.224    
   2200.0      18.058      84.237       31.221     0.56723E+34  32.023    
   2300.0      18.182      85.042       33.033     0.75270E+34  33.836    
   2400.0      18.294      85.818       34.857     0.98996E+34  35.660    
   2500.0      18.397      86.567       36.692     0.12914E+35  37.495    
   2600.0      18.490      87.291       38.537     0.16716E+35  39.340    
   2700.0      18.575      87.990       40.391     0.21481E+35  41.193    
   2800.0      18.654      88.667       42.252     0.27415E+35  43.055    
   2900.0      18.725      89.323       44.122     0.34764E+35  44.924    
   3000.0      18.791      89.959       45.998     0.43811E+35  46.801    
   298.15      10.235      55.913       1.8439     0.47008E+30  2.6466    
 thermodynamic fit results
 h298 final  -46.1431743666956     
