Partition function (log) and its derivatives:
T, K         prod1                         
100        64.8184    0.0303915 -0.000288784
200         66.985    0.0162317 -7.00179e-05
300        68.3436     0.011571 -3.09153e-05
400        69.3742   0.00926598 -1.71929e-05
500        70.2269   0.00788906  -1.1073e-05
600        70.9665   0.00695629 -7.88955e-06
700        71.6262   0.00626863 -6.01039e-06
800        72.2253   0.00573275 -4.78591e-06
900        72.7762   0.00529932 -3.92945e-06
1000       73.2876   0.00493935 -3.30032e-06
1100       73.7659   0.00463427 -2.82194e-06
1200       74.2158   0.00437147 -2.44862e-06
1300       74.6413   0.00414202 -2.15117e-06
1400       75.0451   0.00393937 -1.90996e-06
1500       75.4299   0.00375862 -1.71131e-06
1600       75.7975   0.00359602 -1.54544e-06
1700       76.1496   0.00344868 -1.40522e-06
1800       76.4876    0.0033143 -1.28534e-06
1900       76.8128   0.00319106 -1.18182e-06
2000       77.1262   0.00307749 -1.09163e-06
2100       77.4286   0.00297237  -1.0124e-06
2200       77.7209   0.00287471   -9.423e-07
2300       78.0038   0.00278366  -8.7987e-07
2400       78.2778   0.00269852 -8.23945e-07
2500       78.5436   0.00261868 -7.73585e-07
2600       78.8017   0.00254364 -7.28018e-07
2700       79.0525   0.00247294 -6.86614e-07
2800       79.2964    0.0024062 -6.48844e-07
2900       79.5339   0.00234307 -6.14267e-07
3000       79.7652   0.00228325 -5.82512e-07
298.2      68.3227     0.011627 -3.12973e-05
