 thermo properties for species            1
  T(K) Cp(cal/(mol.K)) S(cal/(mol.K)) H-H(1)(kcal/mol)  Q/V   H(kcal/mol) 
  100.000      7.9480      39.438       0.0000     0.56035E+27 0.79494    
   200.00      7.9915      44.953      0.79599     0.44839E+28  1.5909    
   300.00      8.2980      48.240       1.6078     0.15208E+29  2.4027    
   400.00      8.8944      50.704       2.4658     0.36683E+29  3.2607    
   500.00      9.6214      52.766       3.3912     0.74129E+29  4.1862    
   600.00      10.367      54.586       4.3909     0.13473E+30  5.1858    
   700.00      11.091      56.239       5.4642     0.22831E+30  6.2592    
   800.00      11.784      57.765       6.6084     0.36804E+30  7.4034    
   900.00      12.442      59.192       7.8203     0.57141E+30  8.6152    
  1000.00      13.061      60.535       9.0960     0.86135E+30  9.8909    
   1100.0      13.637      61.807       10.431     0.12678E+31  11.226    
   1200.0      14.168      63.017       11.822     0.18290E+31  12.617    
   1300.0      14.654      64.170       13.264     0.25939E+31  14.059    
   1400.0      15.095      65.273       14.752     0.36246E+31  15.547    
   1500.0      15.494      66.328       16.282     0.49985E+31  17.077    
   1600.0      15.854      67.340       17.850     0.68117E+31  18.645    
   1700.0      16.178      68.311       19.453     0.91839E+31  20.247    
   1800.0      16.470      69.244       21.085     0.12260E+32  21.880    
   1900.0      16.733      70.142       22.746     0.16218E+32  23.541    
   2000.0      16.969      71.006       24.432     0.21275E+32  25.227    
   2100.0      17.182      71.839       26.140     0.27687E+32  26.935    
   2200.0      17.375      72.643       27.868     0.35768E+32  28.663    
   2300.0      17.549      73.419       29.615     0.45890E+32  30.410    
   2400.0      17.707      74.169       31.378     0.58484E+32  32.173    
   2500.0      17.850      74.895       33.156     0.74073E+32  33.951    
   2600.0      17.980      75.598       34.948     0.93275E+32  35.743    
   2700.0      18.099      76.279       36.752     0.11679E+33  37.547    
   2800.0      18.207      76.939       38.568     0.14545E+33  39.363    
   2900.0      18.307      77.579       40.394     0.18023E+33  41.189    
   3000.0      18.397      78.202       42.230     0.22226E+33  43.025    
   298.15      8.2894      48.189       1.5921     0.14933E+29  2.3871    
 thermodynamic fit results
 h298 final  -10.9018759147907     
