Partition function (log) and its derivatives:
T, K         reac1                         
100        61.5906         0.03 -0.000299998
200        63.6703    0.0150132 -7.45843e-05
300        64.8916       0.0101 -3.20428e-05
400        65.7721   0.00775452 -1.70458e-05
500        66.4756   0.00642561 -1.03338e-05
600        67.0731   0.00558173 -6.89092e-06
700        67.6005   0.00499898 -4.93227e-06
800         68.078   0.00457071 -3.72283e-06
900        68.5179   0.00424076 -2.92802e-06
1000       68.9283   0.00397693 -2.38068e-06
1100       69.3148   0.00375945 -1.98977e-06
1200       69.6813   0.00357556 -1.70198e-06
1300       70.0307   0.00341673 -1.48437e-06
1400       70.3653   0.00327706 -1.31572e-06
1500       70.6867   0.00315243 -1.18197e-06
1600       70.9962   0.00303983 -1.07361e-06
1700        71.295   0.00293708 -9.84063e-07
1800       71.5839   0.00284254 -9.08714e-07
1900       71.8637   0.00275497 -8.44284e-07
2000       72.1351    0.0026734 -7.88397e-07
2100       72.3985   0.00259707 -7.39315e-07
2200       72.6546   0.00252535 -6.95741e-07
2300       72.9038   0.00245777 -6.56698e-07
2400       73.1463   0.00239389 -6.21437e-07
2500       73.3826   0.00233337 -5.89375e-07
2600       73.6131   0.00227592 -5.60054e-07
2700       73.8379   0.00222128 -5.33105e-07
2800       74.0574   0.00216923  -5.0823e-07
2900       74.2718   0.00211958 -4.85187e-07
3000       74.4814   0.00207214  -4.6377e-07
298.2      64.8734     0.010158 -3.24592e-05
